genbank_accession,gisaid_epi_isl,Originating Lab,Submitting Lab,Author
,EPI_ISL_435419,"Virological Research Group, Szentágothai Research Centre","Bioinformatics Research Group, Szentágothai Research Centre",Péter Urbán et al
,EPI_ISL_428882,"State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms","State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms",Oleg V. Pyankov et al
,EPI_ISL_437932,"Institut für Virologie am Department für Hygiene, Mikrobiologie und Public Health","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
,EPI_ISL_452139,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),Instituto de diagnóstico y Referencia Epidemiologicos (INDRE),Ramirez-Gonzalez Ernesto et al A
,EPI_ISL_454753,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),Adam Meijer et al
,EPI_ISL_456238,Southern Community Labs Dunedin,Institute of Environmental Science and Research (ESR),Matt Storey et al A
,EPI_ISL_412972,Instituto Nacional de Enfermedades Respiratorias,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),Ramirez-Gonzalez Ernesto et al B (https://dx.doi.org/10.1007/s00705-020-04695-3)
,EPI_ISL_420785,FL Bureau of Health Laboratories Tampa,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_450511,Rafik Hariri University Hospital,Rafik Hariri University Hospital,Rita Feghali et al
,EPI_ISL_430797,"Departamento de Biología y genética molecular, IACA Laboratorios.",Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Nabaes Jodar et al A (https://dx.doi.org/10.1101/2020.05.23.20111443)
,EPI_ISL_457766,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_418581,UCD National Virus Reference Laboratory,UCD National Virus Reference Laboratory,Michael Carr et al
,EPI_ISL_420600,Servicio Virosis Respiratorias-Departamento Virología-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister E. et al (https://dx.doi.org/10.1101/2020.05.23.20111443)
,EPI_ISL_416430,"National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)","National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)",Le Quynh Mai et al
,EPI_ISL_451939,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
,EPI_ISL_419307,Saitama Prefectural Institute of Public Health,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al D (https://dx.doi.org/10.3389/fmicb.2020.01316)
,EPI_ISL_419387,"Hospital Prof. Doutor Fernando Fonseca, EPE",Instituto Gulbenkian de Ciência,João Costa et al
,EPI_ISL_455698,National Hospital of Tropical Diseases,"Oxford University Clinical Research Unit, Hanoi, Vietnam",Nguyen Thi Tam et al
,EPI_ISL_455701,National Hospital of Tropical Diseases,"Oxford University Clinical Research Unit, Hanoi, Vietnam",Nguyen Thi Tam et al
,EPI_ISL_447838,"Medical Microbiology Unit, Department for Laboratory Medicine, Drammen Hospital, Vestre Viken Health Trust,","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
,EPI_ISL_453859,,Instituto Nacional de Saude (INSA),Borges et al et al
,EPI_ISL_420023,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_429233,Ospedale Civile Giuseppe Mazzini,"Istituto Zooprofilattico Sperimentale dell'Abruzzo e Molise ""G. Caporale""",Lorusso A et al
,EPI_ISL_457771,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_423699,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_457843,National Public Health Laboratory,KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi,Githinji G. et al 2020 et al (https://virological.org/t/introduction-and-local-transmission-of-sars-cov-2-cases-in-kenya/497)
,EPI_ISL_444964,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
,EPI_ISL_420309,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
,EPI_ISL_457979,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
,EPI_ISL_447643,,Department of Medicine,Kassela et al (https://dx.doi.org/10.1101/2020.06.03.20121236)
,EPI_ISL_434546,Puerto Rico Department of Health,"Centers for Disease Control and Prevention, Dengue Branch",Gilberto A. Santiago et al
,EPI_ISL_454581,"University Hospital for Infectious Diseases ""Dr. Fran Mihaljević"", Research Unit","University of Zagreb, Centre for research and knowledge transfer in biotechnology",Ivan-Christian Kurolt et al
,EPI_ISL_452121,VI-US Virgin Islands Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al A
,EPI_ISL_429228,Ospedale Civile Giuseppe Mazzini,"Istituto Zooprofilattico Sperimentale dell'Abruzzo e Molise ""G. Caporale""",Lorusso A et al
,EPI_ISL_450403,,School of Public Health,Sit et al B (https://www.nature.com/articles/s41586-020-2334-5)
,EPI_ISL_437880,"Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens","Laboratory of Biology, Department of Medicine, Democritus University of Thrace",Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)
,EPI_ISL_419311,Chiba Prefectural Institute of Public Health,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al D (https://dx.doi.org/10.3389/fmicb.2020.01316)
,EPI_ISL_437990,"Institut für Virologie am Department für Hygiene, Mikrobiologie und Public Health","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
,EPI_ISL_445298,HOSPITAL DE SAN FERNANDO,Instituto de Salud Publica de Chile,Andrés E Castillo et al
,EPI_ISL_421724,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
,EPI_ISL_429721,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
,EPI_ISL_456244,Southern Community Labs Dunedin,Institute of Environmental Science and Research (ESR),Matt Storey et al A
,EPI_ISL_436684,"KRISP, KZN Research Innovation and Sequencing Platform","KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al (https://dx.doi.org/10.1101/2020.05.29.20116376)
,EPI_ISL_456149,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",Katherine Laiton-Donato et al (https://dx.doi.org/10.1101/2020.06.02.20120782)
,EPI_ISL_452108,MN Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_428671,Centre for Dengue Research,Centre for Dengue Research,Chandima Jeewandara et al
,EPI_ISL_418584,UCD National Virus Reference Laboratory,UCD National Virus Reference Laboratory,Michael Carr et al
,EPI_ISL_419301,Saitama Prefectural Institute of Public Health,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al D (https://dx.doi.org/10.3389/fmicb.2020.01316)
,EPI_ISL_445319,HOSPITAL FELIX BULNES,Instituto de Salud Publica de Chile,Andrés E Castillo et al
,EPI_ISL_422427,JABER AL AHMAD AL SABAH HOSPITAL – KUWAIT CITY,Dasman Diabetes Institute,Fahd Al-Mulla et al
,EPI_ISL_420565,Ospedale Civile Giuseppe Mazzini,Istituto Zooprofilattico Sperimentale dell’Abruzzo e Molise “G. Caporale”,Lorusso A et al
,EPI_ISL_450404,,School of Public Health,Sit et al A
,EPI_ISL_423300,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_437265,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
,EPI_ISL_457792,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_424669,Arizona State University Health Services,Arizona State University,Rabia Maqsood et al (https://dx.doi.org/10.1101/2020.04.17.20069641)
,EPI_ISL_451679,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
,EPI_ISL_418258,"Presidio ospedaliero ""Santo Spirito""","Istituto Zooprofilattico Sperimentale dell'Abruzzo e Molise ""G. Caporale""",Lorusso A et al
,EPI_ISL_438240,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_456031,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_429231,Ospedale Civile Giuseppe Mazzini,"Istituto Zooprofilattico Sperimentale dell'Abruzzo e Molise ""G. Caporale""",Lorusso A et al
,EPI_ISL_435430,"Virological Research Group, Szentágothai Research Centre","Bioinformatics Research Group, Szentágothai Research Centre",Péter Urbán et al
,EPI_ISL_423083,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_443223,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak Tze Minn et al
,EPI_ISL_420604,"Institut des Agents Infectieux (IAI), Hospices Civils de Lyon",CNR Virus des Infections Respiratoires - France SUD,Antonin Bal et al
,EPI_ISL_429669,Central Public Health Laboratory/Octávio Magalhães Institute (IOM) from the Ezequiel Dias Foundation (FUNED),Instituto Octávio Magalhães / Fundação Ezequiel Dias (IOM/Funed),Talita Adelino et al (https://dx.doi.org/10.1101/2020.05.05.20091611)
,EPI_ISL_414628,Centre Hospitalier Compiègne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélnie Albert et al (https://dx.doi.org/10.1101/2020.04.24.059576)
,EPI_ISL_430820,"Center of Scientific Excellence for Influenza Viruses, National Research Centre (NRC), Egypt.","Center of Scientific Excellence for Influenza Viruses, National Research Centre (NRC), Egypt.",Mohamed Ahmed Ali et al (https://dx.doi.org/10.3389/fmicb.2020.01316)
,EPI_ISL_450509,Rafik Hariri University Hospital,Rafik Hariri University Hospital,Rita Feghali et al
,EPI_ISL_450514,Rafik Hariri University Hospital,Rafik Hariri University Hospital,Rita Feghali et al
,EPI_ISL_424857,FL Bur. of Public Health Laboratories-Jacksonville,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_424855,FL Bureau of Public Health Laboratories-Tampa,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_445301,HOSPITAL NAVAL PUERTO WILLIAMS,Instituto de Salud Publica de Chile,Andrés E Castillo et al
,EPI_ISL_445346,HOSPITAL DR.HERNAN HENRIQUEZ ARAVENA,Instituto de Salud Publica de Chile,Andrés E Castillo et al
,EPI_ISL_454690,"Emory Molecular Diagnostics Laboratory, Emory Healthcare","Piantadosi Lab, Emory Department of Pathology",Ahmed Babiker et al
,EPI_ISL_417336,"Institut des Agents Infectieux (IAI), Hospices Civils de Lyon",CNR Virus des Infections Respiratoires - France SUD,Antonin Bal et al
,EPI_ISL_436473,UPMC Clinical Laboratory,"Microbial Genome Sequencing Center, Microbial Genomic Epidemiological Laboratory",Dan Snyder et al
,EPI_ISL_415710,WHO National Influenza Centre Russian Federation,WHO National Influenza Centre Russian Federation,Andrey Komissarov et al
,EPI_ISL_418430,"Institut des Agents Infectieux (IAI), Hospices Civils de Lyon",CNR Virus des Infections Respiratoires - France SUD,Antonin Bal et al
,EPI_ISL_418377,Public Health Ontario Laboratories,Public Health Ontario Laboratories,Alireza Eshaghi et al
,EPI_ISL_418836,BCCDC Public Health Laboratory,BCCDC Public Health Laboratory,Harrigan et al A
,EPI_ISL_424869,MD DOH Laboratories Administration,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_420599,Servicio Virosis Respiratorias-Departamento Virología-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister E. et al (https://dx.doi.org/10.1101/2020.05.23.20111443)
,EPI_ISL_426432,"PA Department of Health, Bureau of Laboratories","Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_452132,FL Bureau of Public Health Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_437330,Ministry of Health Turkey,Ministry of Health Turkey,Fatma Bayrakdar et al
,EPI_ISL_454423,Maryland Department of Health Laboratories Administration,Maryland Department of Health Laboratories Administration,MDH Laboratories Administration et al
,EPI_ISL_437304,Ministry of Health Turkey,Ministry of Health Turkey,Fatma Bayrakdar et al
,EPI_ISL_457824,"Bezmialem Vakif University, Dept Microbiology, Medical School, Fatih, Istanbul, Turkey","Bezmialem Vakif University, Medical School & Beykoz Institute of Life Sciences & Biotechnology",Mehmet Z. Doymaz et al
,EPI_ISL_424886,"PA Department of Health, Bureau of Laboratories","Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_457820,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_437471,Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST),Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST),Sharif Hala et al
,EPI_ISL_430819,"Center of Scientific Excellence for Influenza Viruses,National Research Centre (NRC), Egypt.","Center of Scientific Excellence for Influenza Viruses,National Research Centre (NRC), Egypt.",Mohamed Ahmed Ali et al (https://dx.doi.org/10.3389/fmicb.2020.01316)
,EPI_ISL_437481,Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST),Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST),Sara Mfarrej et al
